date,t,confirmed,deaths,recovered,Population,s_si,i_si,s_sir,i_sir,r_sir,recovered_reliable
2020-12-20,333,77030307,1773979,42958159.0,7744776836.0,0.9900539023097553,0.009946097690244666,0.9900539023097553,0.004170316289795287,0.00577578140044938,True
2020-12-21,334,77576529,1783464,43294182.0,7744776836.0,0.9899833745190176,0.01001662548098242,0.9899833745190176,0.004196232336732498,0.005820393144249922,True
2020-12-22,335,78227986,1797308,43649281.0,7744776836.0,0.989899258860969,0.010100741139031059,0.989899258860969,0.004232710340680499,0.005868030798350559,True
2020-12-23,336,78910081,1811049,43966713.0,7744776836.0,0.9898111872464546,0.010188812753545428,0.9898111872464546,0.004278021136256791,0.0059107916172886354,True
2020-12-24,337,79603472,1823258,44277432.0,7744776836.0,0.9897216571005661,0.010278342899433803,0.9897216571005663,0.004325855051661298,0.005952487847772506,True
2020-12-25,338,80096696,1831882,44568328.0,7744776836.0,0.9896579723733695,0.010342027626630506,0.9896579723733695,0.004350865972453696,0.00599116165417681,True
2020-12-26,339,80629340,1840235,44974652.0,7744776836.0,0.9895891977642001,0.01041080223579989,0.9895891977642001,0.004366097786423035,0.006044704449376855,True
2020-12-27,340,81042534,1848389,45256575.0,7744776836.0,0.9895358464528906,0.010464153547109384,0.9895358464528906,0.004381994564678506,0.006082158982430879,True
2020-12-28,341,81541719,1857935,45542935.0,7744776836.0,0.9894713920456726,0.010528607954327375,0.9894713920456726,0.004408241802565995,0.006120366151761381,True
2020-12-29,342,82213594,1872872,45886286.0,7744776836.0,0.9893846400301882,0.01061535996981179,0.9893846400301882,0.004448731929866029,0.00616662803994576,True
2020-12-30,343,82938894,1888314,46267246.0,7744776836.0,0.9892909898172306,0.010709010182769325,0.9892909898172307,0.004491199002444698,0.006217811180324629,True
2020-12-31,344,83778622,1901777,46562169.0,7744776836.0,0.9891825647434317,0.010817435256568315,0.9891825647434317,0.0045598054983130056,0.006257629758255309,True
2021-01-01,345,84342314,1911418,46864674.0,7744776836.0,0.9891097812388923,0.01089021876110776,0.9891097812388923,0.004592284936433254,0.006297933824674506,True
2021-01-02,346,84946690,1920880,47116804.0,7744776836.0,0.9890317446456116,0.010968255354388367,0.9890317446456116,0.00463654495931818,0.006331710395070188,True
2021-01-03,347,85467020,1928820,47372183.0,7744776836.0,0.9889645600112421,0.011035439988757863,0.9889645600112421,0.004669730034297401,0.006365709954460462,True
